distributor_id,distributor_name,tier,channel,province,region,contact_person,phone,email,tax_code,join_date,credit_limit,status,assigned_supervisor_id
DIST0118,Công ty TNHH Phạm Đức Sơn Dịch vụ,Điểm bán lẻ,Traditional Trade,Cần Thơ,Miền Nam,Lê Thị Lan,02646904842,dist0118@gmail.com,1805864801,2017-08-17,1000000000,Active,EMP1001
DIST0119,Công ty CP Dương Thành Quân Phân phối,Nhà phân phối cấp 1,Traditional Trade,Cần Thơ,Miền Nam,Phạm Xuân Nhân,02583555469,dist0119@gmail.com,1089644921,2015-11-03,500000000,Active,EMP1034
DIST0120,Công ty Tư nhân Vũ Xuân Dũng Phân phối,Nhà phân phối cấp 1,Modern Trade,Tiền Giang,Miền Nam,Đỗ Quốc Thắng,02165386721,dist0120@gmail.com,8084390529,2021-10-09,1000000000,Active,EMP1052
DIST0121,Công ty TNHH Trần Quốc Ngân Dịch vụ,Đại lý cấp 2,Modern Trade,Tiền Giang,Miền Nam,Đặng Bá Hùng,02588108621,dist0121@gmail.com,2185008236,2016-10-07,200000000,Active,EMP1043
DIST0122,Công ty Tư nhân Vũ Thanh Phúc Dịch vụ,Nhà phân phối cấp 1,E-commerce,Tiền Giang,Miền Nam,Nguyễn Đức Quân,02684751979,dist0122@gmail.com,6949755899,2018-10-19,200000000,Inactive,EMP1012
DIST0123,Công ty Tư nhân Lê Thanh An Thương mại,Đại lý cấp 2,E-commerce,Tiền Giang,Miền Nam,Lê Đức Hải,02748811423,dist0123@gmail.com,4232515987,2021-09-19,2000000000,Active,EMP1082
DIST0124,Công ty Tư nhân Đỗ Hồng Phúc Phân phối,Nhà phân phối cấp 1,E-commerce,Tiền Giang,Miền Nam,Bùi Thành Nhân,02859083095,dist0124@gmail.com,7562185611,2021-03-29,500000000,Active,EMP1067
DIST0125,Công ty TNHH Huỳnh Công Hải Dịch vụ,Nhà phân phối cấp 1,E-commerce,Tiền Giang,Miền Nam,Trần Quốc Việt,02376310548,dist0125@gmail.com,5001120707,2022-04-09,500000000,Active,EMP1034
DIST0126,Công ty TNHH Ngô Thanh Dũng Dịch vụ,Điểm bán lẻ,Modern Trade,Vũng Tàu,Miền Nam,Nguyễn Thị Trung,02130019066,dist0126@gmail.com,7038243702,2015-12-20,1000000000,Active,EMP1043
DIST0127,Công ty TNHH Lý Văn Hải Phân phối,Nhà phân phối cấp 1,Traditional Trade,Vũng Tàu,Miền Nam,Đỗ Đức Hải,02425994944,dist0127@gmail.com,3965328033,2022-04-13,1000000000,Active,EMP1082
DIST0128,Công ty TNHH Huỳnh Văn Thắng Phân phối,Đại lý cấp 2,Traditional Trade,Vũng Tàu,Miền Nam,Đỗ Đức Tuấn,02763607585,dist0128@gmail.com,4742543309,2020-10-23,200000000,Active,EMP1097
DIST0129,Công ty Tư nhân Hồ Văn Uyên Phân phối,Nhà phân phối cấp 1,E-commerce,Vũng Tàu,Miền Nam,Dương Thanh Việt,02286304701,dist0129@gmail.com,7277460428,2023-01-25,500000000,Active,EMP1043
DIST0130,Công ty Tư nhân Đỗ Văn Hải Thương mại,Đại lý cấp 2,E-commerce,Vũng Tàu,Miền Nam,Phạm Thanh Lộc,02415138199,dist0130@gmail.com,3672263551,2015-01-09,1000000000,Active,EMP1023
DIST0131,Công ty Tư nhân Ngô Thanh Mai Dịch vụ,Điểm bán lẻ,Traditional Trade,Vũng Tàu,Miền Nam,Hồ Bá Phúc,02879240243,dist0131@gmail.com,2602822204,2018-09-09,500000000,Active,EMP1001
DIST0132,Công ty Tư nhân Hoàng Xuân Ngân Phân phối,Đại lý cấp 2,Modern Trade,Vũng Tàu,Miền Nam,Phạm Thành Uyên,02159233764,dist0132@gmail.com,8076844756,2021-06-18,500000000,Active,EMP1067
DIST0133,Công ty TNHH Ngô Quốc Dũng Phân phối,Đại lý cấp 2,E-commerce,Vũng Tàu,Miền Nam,Hồ Văn Cường,02681529763,dist0133@gmail.com,5017147699,2018-09-14,1000000000,Inactive,EMP1023
DIST0134,Công ty TNHH Đỗ Thị Giang Dịch vụ,Nhà phân phối cấp 1,Traditional Trade,Bình Phước,Miền Nam,Huỳnh Hồng Lộc,02997149075,dist0134@gmail.com,6444874031,2022-10-07,500000000,Inactive,EMP1001
DIST0135,Công ty TNHH Lê Đức Ngân Thương mại,Đại lý cấp 2,E-commerce,Bình Phước,Miền Nam,Bùi Bá Lộc,02647844158,dist0135@gmail.com,4682501270,2019-11-30,2000000000,Active,EMP1043
DIST0136,Công ty CP Vũ Hồng Nhân Thương mại,Nhà phân phối cấp 1,Traditional Trade,Bình Phước,Miền Nam,Phạm Thanh Bình,02373746761,dist0136@gmail.com,5532078041,2023-06-04,200000000,Active,EMP1043
DIST0137,Công ty TNHH Đặng Công Hà Phân phối,Đại lý cấp 2,Modern Trade,Bình Phước,Miền Nam,Huỳnh Thị An,02137659916,dist0137@gmail.com,9600102888,2015-11-14,200000000,Active,EMP1043
DIST0138,Công ty TNHH Nguyễn Văn Uyên Phân phối,Điểm bán lẻ,Traditional Trade,Bình Phước,Miền Nam,Vũ Thành Phương,02461518463,dist0138@gmail.com,6787099951,2019-01-22,2000000000,Active,EMP1012
